#	$id	Valeur	définition
type	url	string	string
lang			en
url	skos:Concept	skos:prefLabel	skos:altLabel
		3	ANSI_X3.4-1968 [RFC1345,KXS2]
		4	ISO_8859-1:1987 [RFC1345,KXS2]
		5	ISO_8859-2:1987 [RFC1345,KXS2]
		6	ISO_8859-3:1988 [RFC1345,KXS2]
		7	ISO_8859-4:1988 [RFC1345,KXS2]
		8	ISO_8859-5:1988 [RFC1345,KXS2]
		9	ISO_8859-6:1987 [RFC1345,KXS2]
		10	ISO_8859-7:1987 [RFC1947,RFC1345,KXS2]
		11	ISO_8859-8:1988 [RFC1345,KXS2]
		12	ISO_8859-9:1989 [RFC1345,KXS2]
		13	ISO-8859-10(preferredMIMEname) [RFC1345,KXS2]
		14	ISO_6937-2-add [RFC1345,KXS2]
		15	JIS_X0201 [RFC1345,KXS2]
		16	JIS_Encoding
		17	Shift_JIS(preferredMIMEname)
		18	Extended_UNIX_Code_Packed_Format_for_Japanese
		19	Extended_UNIX_Code_Fixed_Width_for_Japanese
		20	BS_4730 [RFC1345,KXS2]
		21	SEN_850200_C [RFC1345,KXS2]
		22	IT [RFC1345,KXS2]
		23	ES [RFC1345,KXS2]
		24	DIN_66003 [RFC1345,KXS2]
		25	NS_4551-1 [RFC1345,KXS2]
		26	NF_Z_62-010 [RFC1345,KXS2]
		27	ISO-10646-UTF-1
		28	ISO_646.basic:1983 [RFC1345,KXS2]
		29	INVARIANT [RFC1345,KXS2]
		30	ISO_646.irv:1983 [RFC1345,KXS2]
		31	NATS-SEFI [RFC1345,KXS2]
		32	NATS-SEFI-ADD [RFC1345,KXS2]
		33	NATS-DANO [RFC1345,KXS2]
		34	NATS-DANO-ADD [RFC1345,KXS2]
		35	SEN_850200_B [RFC1345,KXS2]
		36	KS_C_5601-1987 [RFC1345,KXS2]
		37	ISO-2022-KR(preferredMIMEname) [RFC1557,Choi]
		38	EUC-KR(preferredMIMEname) [RFC1557,Choi]
		39	ISO-2022-JP(preferredMIMEname) [RFC1468,Murai]
		40	ISO-2022-JP-2(preferredMIMEname) [RFC1554,Ohta]
		41	JIS_C6220-1969-jp [RFC1345,KXS2]
		42	JIS_C6220-1969-ro [RFC1345,KXS2]
		43	PT [RFC1345,KXS2]
		44	greek7-old [RFC1345,KXS2]
		45	latin-greek [RFC1345,KXS2]
		46	NF_Z_62-010_(1973) [RFC1345,KXS2]
		47	Latin-greek-1 [RFC1345,KXS2]
		48	ISO_5427 [RFC1345,KXS2]
		49	JIS_C6226-1978 [RFC1345,KXS2]
		50	BS_viewdata [RFC1345,KXS2]
		51	INIS [RFC1345,KXS2]
		52	INIS-8 [RFC1345,KXS2]
		53	INIS-cyrillic [RFC1345,KXS2]
		54	ISO_5427:1981 [RFC1345,KXS2]
		55	ISO_5428:1980 [RFC1345,KXS2]
		56	GB_1988-80 [RFC1345,KXS2]
		57	GB_2312-80 [RFC1345,KXS2]
		58	NS_4551-2 [RFC1345,KXS2]
		59	videotex-suppl [RFC1345,KXS2]
		60	PT2 [RFC1345,KXS2]
		61	ES2 [RFC1345,KXS2]
		62	MSZ_7795.3 [RFC1345,KXS2]
		63	JIS_C6226-1983 [RFC1345,KXS2]
		64	greek7 [RFC1345,KXS2]
		65	ASMO_449 [RFC1345,KXS2]
		66	iso-ir-90 [RFC1345,KXS2]
		67	JIS_C6229-1984-a [RFC1345,KXS2]
		68	JIS_C6229-1984-b [RFC1345,KXS2]
		69	JIS_C6229-1984-b-add [RFC1345,KXS2]
		70	JIS_C6229-1984-hand [RFC1345,KXS2]
		71	JIS_C6229-1984-hand-add [RFC1345,KXS2]
		72	JIS_C6229-1984-kana [RFC1345,KXS2]
		73	ISO_2033-1983 [RFC1345,KXS2]
		74	ANSI_X3.110-1983 [RFC1345,KXS2]
		75	T.61-7bit [RFC1345,KXS2]
		76	T.61-8bit [RFC1345,KXS2]
		77	ECMA-cyrillic
		78	CSA_Z243.4-1985-1 [RFC1345,KXS2]
		79	CSA_Z243.4-1985-2 [RFC1345,KXS2]
		80	CSA_Z243.4-1985-gr [RFC1345,KXS2]
		81	ISO_8859-6-E [RFC1556,IANA]
		82	ISO_8859-6-I [RFC1556,IANA]
		83	T.101-G2 [RFC1345,KXS2]
		84	ISO_8859-8-E [RFC1556,Nussbacher]
		85	ISO_8859-8-I [RFC1556,Nussbacher]
		86	CSN_369103 [RFC1345,KXS2]
		87	JUS_I.B1.002 [RFC1345,KXS2]
		88	IEC_P27-1 [RFC1345,KXS2]
		89	JUS_I.B1.003-serb [RFC1345,KXS2]
		90	JUS_I.B1.003-mac [RFC1345,KXS2]
		91	greek-ccitt [RFC1345,KXS2]
		92	NC_NC00-10:81 [RFC1345,KXS2]
		93	ISO_6937-2-25 [RFC1345,KXS2]
		94	GOST_19768-74 [RFC1345,KXS2]
		95	ISO_8859-supp [RFC1345,KXS2]
		96	ISO_10367-box [RFC1345,KXS2]
		97	latin-lap [RFC1345,KXS2]
		98	JIS_X0212-1990 [RFC1345,KXS2]
		99	DS_2089 [RFC1345,KXS2]
		100	us-dk [RFC1345,KXS2]
		101	dk-us [RFC1345,KXS2]
		102	KSC5636 [RFC1345,KXS2]
		103	UNICODE-1-1-UTF-7 [RFC1642]
		104	ISO-2022-CN [RFC1922]
		105	ISO-2022-CN-EXT [RFC1922]
		106	UTF-8 [RFC3629]
		109	ISO-8859-13
		110	ISO-8859-14
		111	ISO-8859-15
		112	ISO-8859-16
		113	GBK
		114	GB18030
		115	OSD_EBCDIC_DF04_15
		116	OSD_EBCDIC_DF03_IRV
		117	OSD_EBCDIC_DF04_1
		118	ISO-11548-1
		119	KZ-1048
		1000	ISO-10646-UCS-2
		1001	ISO-10646-UCS-4
		1002	ISO-10646-UCS-Basic
		1003	ISO-10646-Unicode-Latin1
		1004	ISO-10646-J-1
		1005	ISO-Unicode-IBM-1261
		1006	ISO-Unicode-IBM-1268
		1007	ISO-Unicode-IBM-1276
		1008	ISO-Unicode-IBM-1264
		1009	ISO-Unicode-IBM-1265
		1010	UNICODE-1-1 [RFC1641]
		1011	SCSU
		1012	UTF-7 [RFC2152]
		1013	UTF-16BE [RFC2781]
		1014	UTF-16LE [RFC2781]
		1015	UTF-16 [RFC2781]
		1016	CESU-8 [Phipps]
		1017	UTF-32 [Davis]
		1018	UTF-32BE [Davis]
		1019	UTF-32LE [Davis]
		1020	BOCU-1 [Scherer]
		2000	ISO-8859-1-Windows-3.0-Latin-1 [HP-PCL5]
		2001	ISO-8859-1-Windows-3.1-Latin-1 [HP-PCL5]
		2002	ISO-8859-2-Windows-Latin-2 [HP-PCL5]
		2003	ISO-8859-9-Windows-Latin-5 [HP-PCL5]
		2004	hp-roman8 [HP-PCL5,RFC1345,KXS2]
		2005	Adobe-Standard-Encoding [Adobe]
		2006	Ventura-US [HP-PCL5]
		2007	Ventura-International [HP-PCL5]
		2008	DEC-MCS [RFC1345,KXS2]
		2009	IBM850 [RFC1345,KXS2]
		2012	PC8-Danish-Norwegian [HP-PCL5]
		2013	IBM862 [RFC1345,KXS2]
		2014	PC8-Turkish [HP-PCL5]
		2015	IBM-Symbols [IBM-CIDT]
		2016	IBM-Thai [IBM-CIDT]
		2017	HP-Legal [HP-PCL5]
		2018	HP-Pi-font [HP-PCL5]
		2019	HP-Math8 [HP-PCL5]
		2020	Adobe-Symbol-Encoding [Adobe]
		2021	HP-DeskTop [HP-PCL5]
		2022	Ventura-Math [HP-PCL5]
		2023	Microsoft-Publishing [HP-PCL5]
		2024	Windows-31J
		2025	GB2312(preferredMIMEname)
		2026	Big5(preferredMIMEname)
		2027	macintosh [RFC1345,KXS2]
