#	$id	Valeur	définition
type	url	string	string
		2028	IBM037 [RFC1345,KXS2]
		2029	IBM038 [RFC1345,KXS2]
		2030	IBM273 [RFC1345,KXS2]
		2031	IBM274 [RFC1345,KXS2]
		2032	IBM275 [RFC1345,KXS2]
		2033	IBM277 [RFC1345,KXS2]
		2034	IBM278 [RFC1345,KXS2]
		2035	IBM280 [RFC1345,KXS2]
		2036	IBM281 [RFC1345,KXS2]
		2037	IBM284 [RFC1345,KXS2]
		2038	IBM285 [RFC1345,KXS2]
		2039	IBM290 [RFC1345,KXS2]
		2040	IBM297 [RFC1345,KXS2]
		2041	IBM420 [RFC1345,KXS2]
		2042	IBM423 [RFC1345,KXS2]
		2043	IBM424 [RFC1345,KXS2]
		2011	IBM437 [RFC1345,KXS2]
		2044	IBM500 [RFC1345,KXS2]
		2045	IBM851 [RFC1345,KXS2]
		2010	IBM852 [RFC1345,KXS2]
		2046	IBM855 [RFC1345,KXS2]
		2047	IBM857 [RFC1345,KXS2]
		2048	IBM860 [RFC1345,KXS2]
		2049	IBM861 [RFC1345,KXS2]
		2050	IBM863 [RFC1345,KXS2]
		2051	IBM864 [RFC1345,KXS2]
		2052	IBM865 [RFC1345,KXS2]
		2053	IBM868 [RFC1345,KXS2]
		2054	IBM869 [RFC1345,KXS2]
		2055	IBM870 [RFC1345,KXS2]
		2056	IBM871 [RFC1345,KXS2]
		2057	IBM880 [RFC1345,KXS2]
		2058	IBM891 [RFC1345,KXS2]
		2059	IBM903 [RFC1345,KXS2]
		2060	IBM904 [RFC1345,KXS2]
		2061	IBM905 [RFC1345,KXS2]
		2062	IBM918 [RFC1345,KXS2]
		2063	IBM1026 [RFC1345,KXS2]
		2064	EBCDIC-AT-DE [RFC1345,KXS2]
		2065	EBCDIC-AT-DE-A [RFC1345,KXS2]
		2066	EBCDIC-CA-FR [RFC1345,KXS2]
		2067	EBCDIC-DK-NO [RFC1345,KXS2]
		2068	EBCDIC-DK-NO-A [RFC1345,KXS2]
		2069	EBCDIC-FI-SE [RFC1345,KXS2]
		2070	EBCDIC-FI-SE-A [RFC1345,KXS2]
		2071	EBCDIC-FR [RFC1345,KXS2]
		2072	EBCDIC-IT [RFC1345,KXS2]
		2073	EBCDIC-PT [RFC1345,KXS2]
		2074	EBCDIC-ES [RFC1345,KXS2]
		2075	EBCDIC-ES-A [RFC1345,KXS2]
		2076	EBCDIC-ES-S [RFC1345,KXS2]
		2077	EBCDIC-UK [RFC1345,KXS2]
		2078	EBCDIC-US [RFC1345,KXS2]
		2079	UNKNOWN-8BIT [RFC1428]
		2080	MNEMONIC [RFC1345,KXS2]
		2081	MNEM [RFC1345,KXS2]
		2082	VISCII [RFC1456]
		2083	VIQR [RFC1456]
		2084	KOI8-R(preferredMIMEname) [RFC1489]
		2085	HZ-GB-2312
		2086	IBM866 [Pond]
		2087	IBM775 [HP-PCL5]
		2088	KOI8-U [RFC2319]
		2089	IBM00858
		2090	IBM00924
		2091	IBM01140
		2092	IBM01141
		2093	IBM01142
		2094	IBM01143
		2095	IBM01144
		2096	IBM01145
		2097	IBM01146
		2098	IBM01147
		2099	IBM01148
		2100	IBM01149
		2101	Big5-HKSCS [Yick]
		2102	IBM1047 [Robrigado]
		2103	PTCP154 [Uskov]
		2104	Amiga-1251
		2105	KOI7-switched
		2106	BRF
		2107	TSCII
		2108	CP51932
		2109	windows-874
		2250	windows-1250
		2251	windows-1251
		2252	windows-1252
		2253	windows-1253
		2254	windows-1254
		2255	windows-1255
		2256	windows-1256
		2257	windows-1257
		2258	windows-1258
		2259	TIS-620
