wave1,wave2,mask_value,comment,sky
3710.0,3744.0,0.0,[OII]          3726+3729 emission line,False
3858.0,3880.0,0.0,[NeIII]        3869 emission line,False
3960.0,3980.0,0.0,Hepsilon       3970 emission line (over CaII H),False
4092.0,4112.0,0.0,Hdelta         4102 emission line,False
4330.0,4350.0,0.0,Hgamma         4340 emission line,False
4848.0,4874.0,0.0,Hbeta          4861 emission line,False
4940.0,5028.0,0.0,[OIII]         4959 & 5007 emission lines,False
5866.0,5916.0,0.0,HeI & NaD      5876 emission line & ~ 5890 ISM absorption,False
6280.0,6320.0,0.0,[OI]           6300 emission line,False
6528.0,6608.0,0.0,"Halpha & [NII] 6563, 6548 & 6583 emission lines",False
6696.0,6752.0,0.0,[SII]          6717 & 6731 emission lines,False
